x (m),y (m),u_x (m),u_y (m),u_magnitude (m),von_mises (GPa),stress_xx (GPa),stress_yy (GPa),stress_xy (GPa)
23.75,0.5,12.773365661327237,-447.77201951234883,447.95417212978964,0.7415039319010667,0.6497400843447605,-0.09780867443381051,-0.13107175579052954
23.5,0.5,12.772203549078311,-441.38579709677236,441.57055049250306,1.0315572479976243,0.9436870455105341,-0.09566387457085432,-0.1539179713176052
23.25,0.5,12.770565836528135,-435.0001367963939,435.18755309023544,1.3888133963864715,1.2959668090572345,-0.09923629738365533,-0.18688393969968356
23.0,0.5,12.76840380420558,-428.61525199794755,428.8053945334309,1.7874891523578582,1.6966593605648232,-0.10281676312188119,-0.2043984545581932
22.75,0.5,12.765595947231493,-422.23144144697096,422.42437262340206,2.209857149618054,2.1162131716296995,-0.09923480229790942,-0.23881720292469774
22.5,0.5,12.762137642931485,-415.84912538682875,416.0449101265482,2.7055074635712026,2.6125773031078103,-0.1013630199499433,-0.26299164773646283
22.25,0.5,12.757927621083898,-409.46856278759975,409.6672657517651,3.255815894006286,3.1586364960812485,-0.10957421203573585,-0.2874361208143683
22.0,0.5,12.752871900398977,-403.09018262539325,403.2918683418758,3.8750034751609252,3.7837722731373833,-0.10897277086137733,-0.298128741122128
21.75,0.5,12.746829068936655,-396.7145062833284,396.91923756217415,4.630340992839537,4.530265447297093,-0.11870891111747328,-0.341338727217806
21.5,0.5,12.739764679467863,-390.3418155693543,390.5496570041613,5.248941445600124,5.147752547996909,-0.11402726709420592,-0.3747188505225259
21.25,0.5,12.731731686663878,-383.9728285424884,384.1838492839859,5.978678229524795,5.87485808747659,-0.11971426058158481,-0.3989714518855162
21.0,0.5,12.72255635972605,-377.6080237171293,377.82229025810864,6.7963004679354855,6.693143835046699,-0.1298761420692575,-0.3990028713900527
20.75,0.5,12.712152253588346,-371.2480125537743,371.46559146177424,7.698848530629442,7.596472028262616,-0.13313521144134924,-0.41137435460742866
20.5,0.5,12.700372068954124,-364.8934718790164,365.11442763962697,8.740534044889626,8.636982057879925,-0.1326150997550525,-0.4497833307521676
20.25,0.5,12.687220604653026,-358.544732280156,358.7691327476764,9.476723867414128,9.339374462476394,-0.18875293314683972,-0.4924238651872732
20.0,0.5,12.672975925187593,-352.2032609761217,352.4311867031839,11.160788778822942,11.000369254699972,-0.2635845219212113,-0.3377174598460495
19.75,0.5,12.65610842444103,-345.8688390241504,346.1003191104638,12.191702427835123,11.937248417260038,-0.30902958262985025,-0.7016575827113712
19.5,0.5,12.638587001261593,-339.54311627722353,339.77825370767414,12.89095655971222,12.761480664379548,-0.17821417570977163,-0.5202393454135871
19.25,0.5,12.619266392725144,-333.2262480816322,333.465108062076,13.791173804148485,13.63670375664588,-0.2210631305139367,-0.5877430805552143
19.0,0.5,12.5986711104565,-326.9199083000996,327.16257878414973,15.953978109322177,15.7373007094067,-0.3713932935255466,-0.3338478359684706
18.75,0.5,12.574799820219516,-320.6238151979538,320.870310970975,17.027245548044927,16.73002587285952,-0.4040567834404761,-0.8117911837818886
18.5,0.5,12.550618555859785,-314.34002682179306,314.59048060686814,18.552090059654354,18.309574129173416,-0.4189784200877398,-0.3651731351661751
18.25,0.5,12.52282865015684,-308.0686821470219,308.3231002652964,19.845288897042508,19.508580136035555,-0.4552751023730426,-0.9443227385687232
18.0,0.5,12.49467695813143,-301.8115611005565,302.0700835340087,21.58031352385026,21.31464261932419,-0.45199780070507783,-0.4459716549081968
17.75,0.5,12.462160704977363,-295.56916802800237,295.83177405106807,23.155237448259705,22.757988650375022,-0.5088692231296129,-1.1286719102650282
17.5,0.5,12.429636351971684,-289.34245860888814,289.6093130644773,23.242353562236254,23.079409442857653,-0.21655574207238382,-0.7841700629851852
17.25,0.5,12.394539085936604,-283.1332544215532,283.40441838209375,24.968693903862498,24.775767705901455,-0.3102097003190652,-0.7270562107534096
17.0,0.5,12.357391109185121,-276.9425988775344,277.21815991754266,28.302202817317678,27.974789297130513,-0.5687218056214355,-0.28040086682542154
16.75,0.5,12.315305711259555,-270.7704808011839,271.0504012689634,29.655476195921057,29.21643890707941,-0.6262236670683343,-1.14291001845902
16.5,0.5,12.273579382771995,-264.6198022046398,264.90428548758496,31.627283710378315,31.252058875243403,-0.6579861823630607,-0.3561635260520727
16.25,0.5,12.226532915198266,-258.4906430838876,258.7796372766764,33.2768253664595,32.77447297481218,-0.7221782744556562,-1.2951721048088376
16.0,0.5,12.179765550242225,-252.3853418348131,252.67906019679256,35.410479160140746,34.991922850678364,-0.7344425550138407,-0.37029606697968304
